feature,mean_abs_weight
previous,0.2610349581220407
duration,0.23422418216286964
pdays,0.22738837683286964
default,0.16554784499110714
contact,0.08039467058630924
loan,0.05558081097291573
campaign,0.053579555453523525
education,0.05132109154383617
housing,0.041460292956688766
month,0.021621619809572
