feature,mean_abs_weight,bin
age,0.008187786534056309,Low
job,0.023520823287186833,Medium
marital,0.01154181863827004,Medium
education,0.007445567233525677,Low
default,0.1323114325211641,High
balance,0.0034830069471822422,Low
housing,0.038657688320689707,Medium
loan,0.045208685473775836,High
contact,0.06463751979346444,High
day,0.009160062826592336,Low
month,0.02975073856052096,Medium
duration,0.24703899563138604,High
campaign,0.04102523205743039,Medium
pdays,0.32438318449504394,High
previous,0.1643268371244317,High
poutcome,0.0022857350653091705,Low
