feature,mean_abs_weight,bin
decile1b,0.01802054182034434,Low
decile3,0.09615723485415457,High
lsat,0.09588622899399617,High
ugpa,0.03741648233663572,Medium
zfygpa,0.03517043442978635,Medium
zgpa,0.11103849384413705,High
fulltime,0.027138986669232316,Low
fam_inc,0.01630549412391402,Low
sex,0.028808359234706784,Medium
race,0.004344784583314389,Low
tier,0.07022219966254697,High
