feature,mean_abs_weight,bin
decile1b,0.01578374114202625,Low
decile3,0.02248506166171808,Low
lsat,0.026819140470646246,High
ugpa,0.023016234487531876,Medium
zfygpa,0.03003417384904754,High
zgpa,0.022910287988438183,Medium
fulltime,0.022606097235665503,Medium
fam_inc,0.0001919769648868233,Low
sex,0.02976429062598172,High
race,0.005931006361881219,Low
tier,0.02404248091547787,High
