feature,mean_abs_weight
zfygpa,0.03003417384904754
sex,0.02976429062598172
lsat,0.026819140470646246
tier,0.02404248091547787
ugpa,0.023016234487531876
zgpa,0.022910287988438183
fulltime,0.022606097235665503
decile3,0.02248506166171808
decile1b,0.01578374114202625
race,0.005931006361881219
