feature,mean_abs_weight
age,0.21492089093000644
hours.per.week,0.1462356377255852
education.num,0.14597848091891974
capital.gain,0.14327944587549615
marital.status,0.11148962333251161
native.country,0.10130660486855173
education,0.07438242107324403
occupation,0.07064909512684094
capital.loss,0.06800490128235481
relationship,0.06762935267077733
