feature,mean_abs_weight,bin
age,0.12008808866420174,High
workclass,0.009101660761619494,Low
fnlwgt,0.014348775044940289,Low
education,0.03312535101989821,Low
education.num,0.20204560041102815,High
marital.status,0.08083815872739693,Medium
occupation,0.012192864190446028,Low
relationship,0.14695591547134065,High
race,0.004498279923160078,Low
sex,0.051150273475657704,Medium
capital.gain,0.13463970972437536,High
capital.loss,0.15800449238912853,High
hours.per.week,0.0874453002195074,Medium
native.country,0.07693956285120923,Medium
