feature,mean_abs_weight
lsat,0.05812030147449235
decile3,0.05390462208467257
tier,0.04931774079588676
sex,0.04577794619850544
zfygpa,0.033040449218768954
fulltime,0.029717738034037957
zgpa,0.02877890677241697
ugpa,0.026082784885776276
decile1b,0.02410340619564648
race,0.005931006361881219
