feature,mean_abs_weight
duration,0.24339100559975718
previous,0.1973256555324252
default,0.18659726028889867
pdays,0.162420795705817
loan,0.06440352672598995
contact,0.056623758566779266
education,0.040347670972102505
month,0.03722457409323359
campaign,0.0370743359732956
housing,0.025200943953042926
