feature,mean_abs_weight,bin
age,0.005771460930925586,Low
job,0.03424523896475714,Medium
marital,0.024200257455666035,Medium
education,0.0031988464223412024,Low
default,0.11406497784803217,High
balance,0.003379546344592163,Low
housing,0.05608854759024942,High
loan,0.036779128106566986,Medium
contact,0.0673542125245642,High
day,0.012336039233220849,Low
month,0.03921019154445004,Medium
duration,0.21276858566962514,High
campaign,0.039390978376764266,Medium
pdays,0.30398005030408065,High
previous,0.14766523930213493,High
poutcome,0.0022857350653091705,Low
