feature,mean_abs_weight,bin
decile1b,0.013449099522843545,Low
decile3,0.0914777865404734,High
lsat,0.07541958372091166,High
ugpa,0.02228693157685456,Low
zfygpa,0.026690688654161382,Medium
zgpa,0.11289557941386758,High
fulltime,0.025736453765273285,Medium
fam_inc,0.014161524175531683,Low
sex,0.0313509048148169,Medium
race,0.004344784583314389,Low
tier,0.07309510907489515,High
